Onset,Duration,Condition,ItemNumber,AgentName,AgentShape,AgentShapeLower,PatientName,PatientShape,PatientShapeLower,VerbStem,PastTense,PastParticiple,Verb,ProgressiveActive,PastActive,GenericProgressiveActive,GenericPastActive,ProgressivePassive,PastPassive,GenericProgressivePassive,GenericPastPassive,Flip1,Flip2,Order1_agent,Order2_agent,Order1_patient,Order2_patient
438,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
476,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
520,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
534,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
540,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
548,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
556,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
568,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
578,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
612,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
642,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
738,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
746,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
770,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
790,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
804,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
814,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
820,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
838,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
848,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
860,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
874,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
894,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
906,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
936,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
960,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
982,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
992,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
1000,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
1034,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
1056,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
1100,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
1158,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
1190,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
1222,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
1230,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
1258,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
1284,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
1336,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
1348,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
1358,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
1432,6,       Patient,,,,,,,,,,,,,,,,,,,,,,,,,
